"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
"United States","331,464,948","331,526,933","332,048,977","333,271,411","334,914,895"
" Autauga County, Alabama","58,809","58,915","59,203","59,726","60,342"
" Baldwin County, Alabama","231,768","233,227","239,439","246,531","253,507"
" Barbour County, Alabama","25,229","24,969","24,533","24,700","24,585"
" Bibb County, Alabama","22,301","22,188","22,359","21,986","21,868"
" Blount County, Alabama","59,130","59,107","59,079","59,516","59,816"
" Bullock County, Alabama","10,360","10,229","10,143","10,143","9,897"
" Butler County, Alabama","19,046","19,025","18,890","18,668","18,382"
" Calhoun County, Alabama","116,441","116,243","115,678","115,780","116,429"
" Chambers County, Alabama","34,772","34,651","34,488","34,164","34,079"
" Cherokee County, Alabama","24,973","24,969","25,074","25,353","25,666"
" Chilton County, Alabama","45,011","45,057","45,259","45,848","46,431"
" Choctaw County, Alabama","12,669","12,626","12,548","12,431","12,252"
" Clarke County, Alabama","23,091","22,987","22,740","22,574","22,337"
" Clay County, Alabama","14,237","14,212","14,170","14,183","14,111"
" Cleburne County, Alabama","15,057","15,064","15,156","15,372","15,639"
" Coffee County, Alabama","53,459","53,549","54,199","54,840","55,643"
" Colbert County, Alabama","57,232","57,304","57,644","57,993","58,361"
" Conecuh County, Alabama","11,597","11,554","11,320","11,224","11,174"
" Coosa County, Alabama","10,378","10,335","10,314","10,307","10,268"
" Covington County, Alabama","37,563","37,506","37,570","37,603","37,952"
" Crenshaw County, Alabama","13,193","13,163","13,069","13,048","13,101"
" Cullman County, Alabama","87,857","88,136","89,639","90,663","92,016"
" Dale County, Alabama","49,322","49,257","49,395","49,495","49,871"
" Dallas County, Alabama","38,458","38,171","37,515","36,729","36,165"
" DeKalb County, Alabama","71,617","71,659","71,912","72,082","72,569"
" Elmore County, Alabama","87,980","87,861","88,789","89,600","90,441"
" Escambia County, Alabama","36,768","36,685","36,660","36,636","36,558"
" Etowah County, Alabama","103,434","103,453","103,010","102,903","103,241"
" Fayette County, Alabama","16,326","16,331","16,127","16,082","15,967"
" Franklin County, Alabama","32,112","32,078","31,998","31,910","31,802"
